DATE,AIRTMAX,AIRTMIN,RAIN
1950-09-02,32.10999928,17.55999961,0
1950-09-03,34.69999922,18.20999959,0
1950-09-04,27.27999939,18.94999958,0
1950-09-05,26.52999941,18.0299996,0
1950-09-06,28.13999937,16.80999962,0
1950-09-07,30.98999931,15.69999965,0
1950-09-08,31.3599993,18.13999959,0
1950-09-09,30.95999931,16.96999962,0
1950-09-10,28.03999937,17.66999961,0
1950-09-11,29.03999935,18.41999959,0
1950-09-12,29.36999934,16.63999963,0
1950-09-13,26.20999941,16.42999963,0
1950-09-14,27.0599994,16.04999964,0
1950-09-15,25.65999943,15.21999966,0
1950-09-16,28.94999935,13.2199997,0
1950-09-17,28.65999936,15.09999966,0
1950-09-18,27.20999939,16.72999963,0
1950-09-19,27.30999939,15.67999965,0
1950-09-20,26.40999941,15.25999966,0
1950-09-21,28.21999937,15.93999964,0
1950-09-22,30.65999931,13.87999969,0
1950-09-23,31.2299993,18.0099996,0
1950-09-24,26.07999942,19.41999957,0
1950-09-25,23.06999948,16.47999963,0
1950-09-26,24.69999945,12.83999971,0
1950-09-27,25.23999944,13.65999969,0.100000001
1950-09-28,22.4499995,15.50999965,0
1950-09-29,22.4999995,13.86999969,0
1950-09-30,21.72999951,12.79999971,0
1950-10-01,23.36999948,15.15999966,0
1950-10-02,24.33999946,14.47999968,0
1950-10-03,25.27999943,14.40999968,0
1950-10-04,24.32999946,13.87999969,0
1950-10-05,20.59999954,15.50999965,10.60000016
1950-10-06,24.82999945,13.92999969,1.800000027
1950-10-07,27.47999939,14.79999967,0
1950-10-08,26.54999941,16.39999963,0
1950-10-09,25.53999943,15.88999964,0
1950-10-10,28.41999936,16.11999964,0
1950-10-11,27.31999939,15.00999966,0
1950-10-12,27.57999938,16.69999963,0
1950-10-13,22.74999949,15.54999965,0
1950-10-14,20.79999954,15.13999966,0
1950-10-15,21.28999952,13.12999971,0
1950-10-16,24.72999945,12.58999972,0
1950-10-17,26.23999941,14.34999968,0
1950-10-18,27.0199994,17.31999961,0
1950-10-19,24.08999946,17.55999961,0.900000013
1950-10-20,24.70999945,16.32999963,6.000000089
1950-10-21,24.78999945,15.65999965,0
1950-10-22,23.78999947,14.18999968,0
1950-10-23,23.41999948,13.2099997,0
1950-10-24,21.04999953,12.30999972,0
1950-10-25,20.35999954,11.26999975,0
1950-10-26,20.70999954,11.20999975,0
1950-10-27,20.54999954,10.50999977,0
1950-10-28,20.27999955,11.07999975,0
1950-10-29,20.27999955,10.21999977,0
1950-10-30,20.25999955,11.53999974,0
1950-10-31,22.06999951,10.33999977,0
1950-11-01,22.2999995,12.76999971,0
1950-11-02,23.83999947,11.90999973,0
1950-11-03,22.63999949,9.549999787,0
1950-11-04,19.79999956,10.64999976,0
1950-11-05,21.34999952,13.11999971,2.800000042
1950-11-06,20.39999954,14.17999968,2.00000003
1950-11-07,25.06999944,14.17999968,0
1950-11-08,20.10999955,14.15999968,0
1950-11-09,20.91999953,14.78999967,2.600000039
1950-11-10,20.06999955,15.75999965,8.900000133
1950-11-11,17.9599996,11.74999974,1.700000025
1950-11-12,19.33999957,9.719999783,0
1950-11-13,19.07999957,10.05999978,0
1950-11-14,20.62999954,12.05999973,0
1950-11-15,19.93999955,12.29999973,0
1950-11-16,19.67999956,10.82999976,0
1950-11-17,18.84999958,10.41999977,0
1950-11-18,17.12999962,9.319999792,0.70000001
1950-11-19,16.92999962,8.889999801,0
1950-11-20,17.11999962,7.749999827,0
1950-11-21,18.12999959,12.49999972,5.800000086
1950-11-22,17.9499996,11.03999975,0
1950-11-23,17.50999961,8.119999819,0
1950-11-24,19.98999955,8.47999981,0
1950-11-25,20.57999954,10.69999976,0
1950-11-26,21.29999952,15.31999966,0
1950-11-27,22.2799995,14.78999967,0
1950-11-28,20.42999954,16.05999964,0
1950-11-29,19.16999957,12.52999972,0
1950-11-30,18.57999958,9.519999787,0
1950-12-01,16.31999964,8.49999981,0
1950-12-02,17.65999961,9.679999784,1.700000025
1950-12-03,15.34999966,13.02999971,26.40000039
1950-12-04,12.17999973,11.14999975,12.70000019
1950-12-05,12.32999972,8.259999815,8.500000127
1950-12-06,11.53999974,6.069999864,0
1950-12-07,14.43999968,5.129999885,0
1950-12-08,16.38999963,7.319999836,0
1950-12-09,16.24999964,8.699999806,0
1950-12-10,15.44999965,6.349999858,0
1950-12-11,14.90999967,9.049999798,1.800000027
1950-12-12,15.56999965,8.569999808,0
1950-12-13,14.90999967,9.729999783,0.900000013
1950-12-14,15.51999965,9.459999789,0
1950-12-15,13.80999969,9.089999797,2.200000033
1950-12-16,13.72999969,7.859999824,0
1950-12-17,14.68999967,4.539999899,0
1950-12-18,14.20999968,4.799999893,0
1950-12-19,16.25999964,6.899999846,0
1950-12-20,14.40999968,8.829999803,6.800000101
1950-12-21,14.56999967,7.919999823,6.800000101
1950-12-22,13.67999969,8.909999801,9.600000143
1950-12-23,14.31999968,7.369999835,2.200000033
1950-12-24,12.49999972,6.809999848,1.000000015
1950-12-25,11.66999974,5.279999882,4.800000072
1950-12-26,11.92999973,4.619999897,0
1950-12-27,9.909999778,4.03999991,32.10000048
1950-12-28,10.27999977,6.019999865,9.600000143
1950-12-29,11.64999974,4.129999908,0
1950-12-30,14.46999968,2.799999937,0.400000006
1950-12-31,15.58999965,4.01999991,7.500000112
1951-01-01,14.47999968,7.819999825,18.50000028
1951-01-02,14.57999967,8.579999808,7.700000115
1951-01-03,13.01999971,6.199999861,0
1951-01-04,15.01999966,4.949999889,0
1951-01-05,14.32999968,6.509999854,8.800000131
1951-01-06,16.10999964,10.09999977,5.100000076
1951-01-07,16.82999962,9.879999779,0.200000003
1951-01-08,14.79999967,8.819999803,0.400000006
1951-01-09,11.07999975,7.719999827,13.6000002
1951-01-10,12.20999973,5.429999879,4.600000069
1951-01-11,14.61999967,4.229999905,3.200000048
1951-01-12,16.19999964,8.799999803,5.100000076
1951-01-13,16.77999962,9.789999781,0
1951-01-14,18.0799996,11.96999973,0
1951-01-15,18.26999959,8.849999802,0
1951-01-16,19.29999957,8.769999804,0
1951-01-17,17.8399996,9.209999794,0
1951-01-18,17.8099996,7.999999821,0
1951-01-19,18.0299996,7.979999822,0
1951-01-20,17.40999961,8.399999812,0
1951-01-21,15.00999966,6.649999851,0
1951-01-22,13.4399997,7.469999833,1.200000018
1951-01-23,13.04999971,6.839999847,6.7000001
1951-01-24,13.74999969,4.499999899,10.90000016
1951-01-25,12.67999972,4.859999891,10.20000015
1951-01-26,13.95999969,5.589999875,7.800000116
1951-01-27,12.85999971,5.139999885,11.00000016
1951-01-28,12.78999971,8.029999821,0
1951-01-29,13.2499997,5.519999877,0
1951-01-30,13.79999969,4.91999989,0
1951-01-31,15.19999966,6.079999864,0
1951-02-01,15.58999965,8.199999817,0
1951-02-02,13.86999969,6.949999845,1.900000028
1951-02-03,14.39999968,8.339999814,3.100000046
1951-02-04,11.23999975,8.429999812,12.90000019
1951-02-05,13.2299997,5.089999886,6.300000094
1951-02-06,15.58999965,4.90999989,11.70000017
1951-02-07,15.74999965,8.06999982,2.70000004
1951-02-08,13.2299997,9.529999787,4.900000073
1951-02-09,11.76999974,6.069999864,17.50000026
1951-02-10,12.03999973,4.759999894,4.600000069
1951-02-11,12.79999971,5.469999878,8.70000013
1951-02-12,14.76999967,5.079999886,3.200000048
1951-02-13,14.36999968,4.849999892,5.000000075
1951-02-14,13.09999971,7.60999983,0
1951-02-15,15.57999965,6.109999863,0
1951-02-16,16.43999963,7.689999828,0
1951-02-17,16.06999964,8.879999802,2.300000034
1951-02-18,16.58999963,12.35999972,6.7000001
1951-02-19,16.30999964,11.16999975,2.300000034
1951-02-20,15.86999965,11.64999974,6.100000091
1951-02-21,14.45999968,10.83999976,0.800000012
1951-02-22,14.85999967,9.959999777,1.300000019
1951-02-23,15.04999966,10.95999976,5.700000085
1951-02-24,14.08999969,8.289999815,0
1951-02-25,13.73999969,6.24999986,0
1951-02-26,14.43999968,5.35999988,0
1951-02-27,16.77999962,5.709999872,0
1951-02-28,16.70999963,9.749999782,0
1951-03-01,16.80999962,7.60999983,0
1951-03-02,17.61999961,6.629999852,0
1951-03-03,16.24999964,7.379999835,0
1951-03-04,14.08999969,6.089999864,0
1951-03-05,13.96999969,4.289999904,0
1951-03-06,15.21999966,6.679999851,2.00000003
1951-03-07,13.5899997,6.509999854,8.200000122
1951-03-08,13.2999997,5.309999881,4.200000063
1951-03-09,15.51999965,6.109999863,17.50000026
1951-03-10,15.93999964,10.44999977,7.900000118
